# ----------------------------------------
# 1 Master View
# User Explorer
# 20180601-20180926
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
2130681335.1536089768,3,00:00:03,66.67%,$0.00,0,0.00%
2130865393.1532216870,3,00:00:00,100.00%,$0.00,0,0.00%
2131994308.1533488791,3,00:00:00,100.00%,$0.00,0,0.00%
2132996496.1536464040,3,00:04:54,66.67%,$0.00,0,0.00%
2133427696.1533894931,3,00:00:37,66.67%,$0.00,0,0.00%
2133554903.1536264231,3,00:00:08,66.67%,$0.00,0,0.00%
2134102422.1527908261,3,00:04:01,66.67%,$0.00,1,66.67%
2138069352.1530221133,3,00:04:57,66.67%,$0.00,0,0.00%
2139635625.1531491911,3,00:01:14,66.67%,$0.00,0,33.33%
2142250009.1533732366,3,00:05:41,66.67%,$0.00,0,0.00%
2142907745.1529945023,3,00:00:20,66.67%,$0.00,0,0.00%
2144530560.1536547707,3,00:00:47,66.67%,$0.00,0,0.00%
2146899698.1529779448,3,00:00:00,100.00%,$0.00,0,0.00%
215941191.1535758749,3,00:00:10,66.67%,$0.00,0,0.00%
21594196.1532540754,3,00:05:36,66.67%,$0.00,0,33.33%
21633976.1528208054,3,00:00:00,100.00%,$0.00,0,0.00%
217320025.1528735786,3,00:00:00,100.00%,$0.00,0,0.00%
218705140.1537273100,3,00:00:19,66.67%,$0.00,0,0.00%
220714091.1530984820,3,00:00:06,66.67%,$0.00,0,33.33%
220766828.1533254747,3,00:01:57,66.67%,$0.00,0,0.00%
221502876.1528411139,3,00:00:00,100.00%,$0.00,0,0.00%
221683700.1530950387,3,00:00:21,66.67%,$0.00,0,0.00%
221747197.1533520567,3,00:00:00,100.00%,$0.00,0,0.00%
223511041.1533362623,3,00:00:02,66.67%,$0.00,0,0.00%
223578643.1521987495,3,00:00:06,66.67%,$0.00,0,0.00%
224432165.1533869935,3,00:00:00,100.00%,$0.00,0,0.00%
226169009.1532195522,3,00:00:02,66.67%,$0.00,0,0.00%
226211222.1528808918,3,00:00:00,100.00%,$0.00,0,0.00%
226839198.1534816483,3,00:00:17,66.67%,$0.00,0,0.00%
227038670.1535553191,3,00:07:19,66.67%,$0.00,0,0.00%
22727667.1535472344,3,00:00:00,100.00%,$0.00,0,0.00%
230507716.1531833337,3,00:08:23,66.67%,$0.00,0,0.00%
230924925.1517711030,3,00:00:00,100.00%,$0.00,0,0.00%
231575674.1534326358,3,00:00:00,100.00%,$0.00,0,0.00%
233285827.1536377012,3,00:01:03,66.67%,$0.00,0,100.00%
235387402.1529482420,3,00:00:00,100.00%,$0.00,0,0.00%
236185450.1533517736,3,00:00:22,66.67%,$0.00,0,0.00%
236524027.1533174594,3,00:00:05,66.67%,$0.00,0,0.00%
23925873.1535148672,3,00:00:00,100.00%,$0.00,0,0.00%
239284323.1532218449,3,00:00:28,66.67%,$0.00,0,0.00%
239289364.1533911598,3,00:01:50,66.67%,$0.00,0,0.00%
239760215.1523894673,3,00:00:28,66.67%,$0.00,0,0.00%
240667968.1537056863,3,00:04:24,66.67%,$0.00,0,33.33%
240843583.1531631428,3,00:00:08,66.67%,$0.00,0,0.00%
241671994.1536984020,3,00:00:12,66.67%,$0.00,0,0.00%
245348576.1531263239,3,00:00:23,66.67%,$0.00,0,0.00%
247605266.1533568159,3,00:00:00,100.00%,$0.00,0,0.00%
2485456.1534783650,3,00:00:24,66.67%,$0.00,0,0.00%
249400975.1529962999,3,00:00:00,100.00%,$0.00,0,0.00%
250885147.1511514043,3,00:01:00,66.67%,$0.00,0,0.00%
251505450.1530878001,3,00:00:00,100.00%,$0.00,0,0.00%
251609762.1526489829,3,00:00:03,66.67%,$0.00,0,0.00%
25497024.1536571648,3,00:00:34,66.67%,$0.00,0,0.00%
255729348.1528325758,3,00:00:26,66.67%,$0.00,0,0.00%
255959721.1530131632,3,00:00:00,100.00%,$0.00,0,0.00%
258754801.1533698341,3,00:00:10,66.67%,$0.00,0,0.00%
